image_path,split,label
images/train/1504.jpg,train,inadequado
images/train/393.jpg,train,adequado
images/train/609.jpg,train,inadequado
images/train/168.jpg,train,adequado
images/train/855.jpg,train,adequado
images/train/162.jpg,train,adequado
images/train/614.jpg,train,adequado
images/valid/80.jpg,valid,inadequado
images/train/873.jpg,train,adequado
images/train/415.jpg,train,adequado
images/train/217.jpg,train,adequado
images/train/1427.jpg,train,adequado
images/valid/70.jpg,valid,adequado
images/test/134.jpg,test,inadequado
images/train/1069.jpg,train,adequado
images/valid/120.jpg,valid,adequado
images/train/1367.jpg,train,adequado
images/train/192.jpg,train,adequado
images/valid/1280.jpg,valid,inadequado
images/train/372.jpg,train,adequado
images/train/865.jpg,train,adequado
images/train/54.jpg,train,inadequado
images/train/942.jpg,train,inadequado
images/train/779.jpg,train,inadequado
images/train/1357.jpg,train,adequado
images/train/518.jpg,train,inadequado
images/test/v5.jpg,test,adequado
images/train/1139.jpg,train,adequado
images/train/1389.jpg,train,inadequado
images/train/1412.jpg,train,adequado
images/train/936.jpg,train,adequado
images/train/35.jpg,train,adequado
images/train/305.jpg,train,inadequado
images/valid/560.jpg,valid,adequado
images/train/501.jpg,train,inadequado
images/test/v49.jpg,test,adequado
images/test/18.jpg,test,inadequado
images/train/394.jpg,train,adequado
images/train/278.jpg,train,adequado
images/train/1043.jpg,train,adequado
images/train/637.jpg,train,adequado
images/train/1277.jpg,train,inadequado
images/train/131.jpg,train,adequado
images/train/582.jpg,train,adequado
images/train/199.jpg,train,inadequado
images/train/1267.jpg,train,inadequado
images/train/677.jpg,train,adequado
images/train/1488.jpg,train,adequado
images/test/v100.jpg,test,adequado
images/train/389.jpg,train,adequado
images/test/v97.jpg,test,adequado
images/train/587.jpg,train,adequado
images/test/63.jpg,test,adequado
images/train/64.jpg,train,adequado
images/train/436.jpg,train,adequado
images/test/v86.jpg,test,adequado
images/train/296.jpg,train,inadequado
images/train/509.jpg,train,adequado
images/train/632.jpg,train,inadequado
images/train/984.jpg,train,adequado
images/train/1371.jpg,train,adequado
images/train/671.jpg,train,adequado
images/train/43.jpg,train,adequado
images/test/v36.jpg,test,adequado
images/train/679.jpg,train,adequado
images/test/65.jpg,test,inadequado
images/train/1184.jpg,train,adequado
images/train/1215.jpg,train,inadequado
images/train/1455.jpg,train,adequado
images/valid/630.jpg,valid,adequado
images/test/142.jpg,test,adequado
images/train/1025.jpg,train,inadequado
images/train/879.jpg,train,inadequado
images/train/412.jpg,train,inadequado
images/train/888.jpg,train,inadequado
images/train/1114.jpg,train,adequado
images/train/478.jpg,train,adequado
images/train/642.jpg,train,inadequado
images/train/1092.jpg,train,adequado
images/train/95.jpg,train,inadequado
images/train/1491.jpg,train,inadequado
images/train/502.jpg,train,adequado
images/train/805.jpg,train,inadequado
images/valid/1040.jpg,valid,inadequado
images/train/342.jpg,train,inadequado
images/train/668.jpg,train,adequado
images/test/148.jpg,test,inadequado
images/train/1374.jpg,train,inadequado
images/train/1255.jpg,train,adequado
images/train/778.jpg,train,inadequado
images/train/208.jpg,train,inadequado
images/train/381.jpg,train,adequado
images/train/1046.jpg,train,adequado
images/train/139.jpg,train,adequado
images/train/1474.jpg,train,inadequado
images/valid/450.jpg,valid,adequado
images/train/1039.jpg,train,adequado
images/test/v29.jpg,test,adequado
images/train/535.jpg,train,inadequado
images/train/1134.jpg,train,adequado
images/test/106.jpg,test,inadequado
images/train/316.jpg,train,inadequado
images/train/1127.jpg,train,adequado
images/train/124.jpg,train,adequado
images/test/v34.jpg,test,adequado
images/train/1538.jpg,train,adequado
images/valid/880.jpg,valid,inadequado
images/valid/750.jpg,valid,adequado
images/train/246.jpg,train,adequado
images/train/919.jpg,train,adequado
images/train/276.jpg,train,inadequado
images/train/874.jpg,train,adequado
images/train/1385.jpg,train,adequado
images/train/583.jpg,train,adequado
images/train/1293.jpg,train,inadequado
images/test/v64.jpg,test,adequado
images/test/111.jpg,test,adequado
images/train/706.jpg,train,adequado
images/train/136.jpg,train,adequado
images/train/1099.jpg,train,adequado
images/train/1158.jpg,train,adequado
images/train/84.jpg,train,adequado
images/train/989.jpg,train,adequado
images/test/v81.jpg,test,adequado
images/train/1189.jpg,train,inadequado
images/train/268.jpg,train,adequado
images/valid/740.jpg,valid,inadequado
images/train/413.jpg,train,adequado
images/test/v65.jpg,test,inadequado
images/train/1201.jpg,train,adequado
images/train/1135.jpg,train,adequado
images/train/1421.jpg,train,inadequado
images/train/1061.jpg,train,inadequado
images/valid/1450.jpg,valid,adequado
images/test/103.jpg,test,inadequado
images/train/1382.jpg,train,adequado
images/train/1386.jpg,train,adequado
images/test/85.jpg,test,adequado
images/train/1381.jpg,train,adequado
images/train/241.jpg,train,adequado
images/train/1313.jpg,train,inadequado
images/train/611.jpg,train,inadequado
images/train/504.jpg,train,inadequado
images/train/951.jpg,train,adequado
images/train/1209.jpg,train,inadequado
images/train/1087.jpg,train,inadequado
images/test/v2.jpg,test,adequado
images/test/v87.jpg,test,adequado
images/train/1235.jpg,train,adequado
images/train/601.jpg,train,adequado
images/train/664.jpg,train,adequado
images/train/787.jpg,train,adequado
images/train/371.jpg,train,adequado
images/train/66.jpg,train,adequado
images/train/1028.jpg,train,inadequado
images/train/1178.jpg,train,adequado
images/train/1364.jpg,train,adequado
images/train/1541.jpg,train,inadequado
images/train/292.jpg,train,adequado
images/train/584.jpg,train,adequado
images/train/644.jpg,train,inadequado
images/train/798.jpg,train,inadequado
images/train/1006.jpg,train,adequado
images/train/6.jpg,train,inadequado
images/test/83.jpg,test,adequado
images/test/35.jpg,test,adequado
images/train/1227.jpg,train,inadequado
images/test/v25.jpg,test,adequado
images/valid/550.jpg,valid,adequado
images/train/795.jpg,train,adequado
images/train/32.jpg,train,inadequado
images/train/1291.jpg,train,adequado
images/train/211.jpg,train,adequado
images/train/1487.jpg,train,adequado
images/train/695.jpg,train,adequado
images/valid/410.jpg,valid,adequado
images/test/v38.jpg,test,adequado
images/train/621.jpg,train,adequado
images/test/v23.jpg,test,adequado
images/train/1019.jpg,train,adequado
images/train/366.jpg,train,inadequado
images/valid/530.jpg,valid,adequado
images/valid/30.jpg,valid,adequado
images/test/v62.jpg,test,inadequado
images/train/275.jpg,train,adequado
images/valid/220.jpg,valid,inadequado
images/train/1536.jpg,train,inadequado
images/test/2.jpg,test,inadequado
images/train/1345.jpg,train,adequado
images/train/272.jpg,train,adequado
images/train/526.jpg,train,adequado
images/train/427.jpg,train,inadequado
images/train/144.jpg,train,adequado
images/train/13.jpg,train,adequado
images/train/981.jpg,train,inadequado
images/train/1403.jpg,train,adequado
images/test/8.jpg,test,adequado
images/train/921.jpg,train,inadequado
images/test/127.jpg,test,adequado
images/train/573.jpg,train,adequado
images/train/538.jpg,train,adequado
images/train/1535.jpg,train,adequado
images/train/943.jpg,train,adequado
images/train/1409.jpg,train,adequado
images/valid/1310.jpg,valid,inadequado
images/train/1155.jpg,train,adequado
images/train/484.jpg,train,adequado
images/train/333.jpg,train,adequado
images/train/956.jpg,train,inadequado
images/train/774.jpg,train,inadequado
images/train/361.jpg,train,inadequado
images/test/78.jpg,test,adequado
images/test/42.jpg,test,adequado
images/train/1153.jpg,train,adequado
images/valid/620.jpg,valid,adequado
images/train/1362.jpg,train,adequado
images/test/22.jpg,test,adequado
images/train/1029.jpg,train,adequado
images/test/88.jpg,test,adequado
images/test/v45.jpg,test,inadequado
images/valid/300.jpg,valid,adequado
images/train/769.jpg,train,inadequado
images/train/719.jpg,train,inadequado
images/train/351.jpg,train,adequado
images/train/287.jpg,train,inadequado
images/train/715.jpg,train,adequado
images/train/1324.jpg,train,adequado
images/train/355.jpg,train,adequado
images/train/422.jpg,train,adequado
images/train/745.jpg,train,adequado
images/train/435.jpg,train,adequado
images/train/639.jpg,train,inadequado
images/train/655.jpg,train,adequado
images/train/1021.jpg,train,inadequado
images/train/1174.jpg,train,inadequado
images/train/423.jpg,train,adequado
images/valid/140.jpg,valid,inadequado
images/train/279.jpg,train,inadequado
images/train/1352.jpg,train,adequado
images/train/712.jpg,train,adequado
images/test/144.jpg,test,adequado
images/train/606.jpg,train,adequado
images/train/576.jpg,train,adequado
images/train/72.jpg,train,adequado
images/train/638.jpg,train,inadequado
images/train/681.jpg,train,adequado
images/train/154.jpg,train,inadequado
images/train/477.jpg,train,adequado
images/train/214.jpg,train,adequado
images/valid/310.jpg,valid,adequado
images/test/110.jpg,test,inadequado
images/train/163.jpg,train,inadequado
images/train/908.jpg,train,adequado
images/train/1323.jpg,train,adequado
images/train/571.jpg,train,adequado
images/train/352.jpg,train,inadequado
images/train/737.jpg,train,adequado
images/test/v17.jpg,test,inadequado
images/train/1358.jpg,train,adequado
images/train/767.jpg,train,inadequado
images/train/247.jpg,train,adequado
images/valid/920.jpg,valid,adequado
images/train/437.jpg,train,adequado
images/train/1531.jpg,train,inadequado
images/train/882.jpg,train,adequado
images/test/74.jpg,test,adequado
images/train/33.jpg,train,inadequado
images/train/252.jpg,train,adequado
images/train/303.jpg,train,adequado
images/train/153.jpg,train,adequado
images/train/1528.jpg,train,adequado
images/train/1138.jpg,train,inadequado
images/train/1392.jpg,train,adequado
images/train/993.jpg,train,adequado
images/train/1117.jpg,train,adequado
images/train/911.jpg,train,adequado
images/train/1498.jpg,train,inadequado
images/train/906.jpg,train,inadequado
images/train/965.jpg,train,adequado
images/test/97.jpg,test,inadequado
images/test/82.jpg,test,inadequado
images/valid/1030.jpg,valid,inadequado
images/train/533.jpg,train,adequado
images/train/543.jpg,train,adequado
images/train/1261.jpg,train,adequado
images/train/1054.jpg,train,adequado
images/train/1182.jpg,train,adequado
images/train/1161.jpg,train,adequado
images/train/254.jpg,train,adequado
images/train/945.jpg,train,adequado
images/valid/930.jpg,valid,adequado
images/train/1183.jpg,train,adequado
images/train/944.jpg,train,adequado
images/train/969.jpg,train,inadequado
images/train/141.jpg,train,adequado
images/train/1299.jpg,train,inadequado
images/train/1505.jpg,train,adequado
images/test/3.jpg,test,inadequado
images/train/391.jpg,train,adequado
images/train/859.jpg,train,inadequado
images/test/27.jpg,test,inadequado
images/test/v9.jpg,test,adequado
images/train/572.jpg,train,adequado
images/train/226.jpg,train,adequado
images/test/114.jpg,test,adequado
images/train/1434.jpg,train,inadequado
images/test/136.jpg,test,adequado
images/valid/100.jpg,valid,adequado
images/train/898.jpg,train,adequado
images/train/837.jpg,train,inadequado
images/test/39.jpg,test,adequado
images/train/713.jpg,train,adequado
images/train/191.jpg,train,inadequado
images/train/801.jpg,train,inadequado
images/train/916.jpg,train,inadequado
images/test/12.jpg,test,adequado
